index,time_s,ch1_raw
0,0.0,1127
1,0.001999800019998,1137
2,0.003999600039996,1141
3,0.0059994000599940004,1133
4,0.007999200079992,1117
5,0.009999000099990002,1106
6,0.011998800119988001,1110
7,0.013998600139986002,1122
8,0.015998400159984,1131
9,0.017998200179982,1134
10,0.019998000199980003,1137
11,0.021997800219978002,1142
12,0.023997600239976002,1142
13,0.025997400259974,1141
14,0.027997200279972004,1141
15,0.029997000299970003,1143
16,0.031996800319968,1145
17,0.033996600339966,1150
18,0.035996400359964,1153
19,0.037996200379962,1151
20,0.039996000399960006,1150
21,0.041995800419958006,1159
22,0.043995600439956005,1170
23,0.045995400459954004,1169
24,0.047995200479952004,1165
25,0.04999500049995,1169
26,0.051994800519948,1180
27,0.053994600539946,1188
28,0.05599440055994401,1189
29,0.05799420057994201,1185
30,0.059994000599940006,1177
31,0.061993800619938005,1175
32,0.063993600639936,1177
33,0.065993400659934,1175
34,0.067993200679932,1170
35,0.06999300069993,1169
36,0.071992800719928,1168
37,0.073992600739926,1156
38,0.075992400759924,1143
39,0.077992200779922,1143
40,0.07999200079992001,1155
41,0.08199180081991801,1167
42,0.08399160083991601,1174
43,0.08599140085991401,1169
44,0.08799120087991201,1160
45,0.08999100089991001,1154
46,0.09199080091990801,1155
47,0.09399060093990601,1156
48,0.09599040095990401,1155
49,0.097990200979902,1154
50,0.0999900009999,1156
51,0.101989801019898,1156
52,0.103989601039896,1151
53,0.105989401059894,1146
54,0.107989201079892,1147
55,0.10998900109989,1150
56,0.11198880111988802,1151
57,0.11398860113988601,1151
58,0.11598840115988401,1150
59,0.11798820117988201,1148
60,0.11998800119988001,1145
61,0.12198780121987801,1142
62,0.12398760123987601,1143
63,0.125987401259874,1146
64,0.127987201279872,1149
65,0.12998700129987,1147
66,0.131986801319868,1142
67,0.133986601339866,1143
68,0.135986401359864,1147
69,0.137986201379862,1147
70,0.13998600139986,1144
71,0.141985801419858,1142
72,0.143985601439856,1144
73,0.145985401459854,1143
74,0.147985201479852,1138
75,0.14998500149985,1129
76,0.151984801519848,1126
77,0.153984601539846,1128
78,0.155984401559844,1129
79,0.157984201579842,1126
80,0.15998400159984003,1120
81,0.16198380161983802,1113
82,0.16398360163983602,1112
83,0.16598340165983402,1124
84,0.16798320167983202,1143
85,0.16998300169983002,1147
86,0.17198280171982802,1131
87,0.17398260173982602,1109
88,0.17598240175982402,1097
89,0.17798220177982202,1100
90,0.17998200179982002,1112
91,0.18198180181981802,1125
92,0.18398160183981602,1131
93,0.18598140185981402,1130
94,0.18798120187981202,1128
95,0.18998100189981001,1130
96,0.19198080191980801,1134
97,0.193980601939806,1133
98,0.195980401959804,1128
99,0.197980201979802,1127
100,0.1999800019998,1131
101,0.201979802019798,1133
102,0.203979602039796,1136
103,0.205979402059794,1143
104,0.207979202079792,1150
105,0.20997900209979,1147
106,0.211978802119788,1143
